date,symbol,open,high,low,close,volume,Day,Month,DayOfWeek
2017-12-29,MDT,0.3091,0.3006,0.3064,0.2936,0.3606,29,12,4
2017-12-29,MET,-0.2414,-0.2488,-0.2424,-0.2512,0.4118,29,12,4
2017-12-29,MGM,-0.5552,-0.5607,-0.5565,-0.5610,0.4778,29,12,4
2017-12-29,MHK,3.8292,3.8247,3.8538,3.8149,-0.5565,29,12,4
2017-12-29,MKC,0.6862,0.6815,0.6903,0.6754,-0.4272,29,12,4
2017-12-29,MLM,2.7720,2.8207,2.7672,2.8250,-0.4314,29,12,4
2017-12-29,MMC,0.3196,0.3095,0.3181,0.3051,-0.2154,29,12,4
2017-12-29,MMM,3.1056,3.0870,3.1186,3.0835,-0.2354,29,12,4
2017-12-29,MNST,-0.0311,-0.0237,-0.0213,-0.0215,-0.1530,29,12,4
2017-12-29,MON,0.9395,0.9331,0.9551,0.9437,0.2762,29,12,4
2017-12-29,MOS,-0.6943,-0.6971,-0.6992,-0.7005,0.4638,29,12,4
2017-12-29,MO,0.1233,0.1277,0.1317,0.1250,1.0589,29,12,4
2017-12-29,MPC,0.0363,0.0309,0.0378,0.0271,0.0586,29,12,4
2017-12-29,MRK,-0.1378,-0.1440,-0.1384,-0.1481,1.9711,29,12,4
2017-12-29,MRO,-0.8541,-0.8573,-0.8540,-0.8580,1.5624,29,12,4
2017-12-29,MSFT,0.3822,0.3767,0.3932,0.3800,5.1695,29,12,4
2017-12-29,MSI,0.4755,0.4642,0.4757,0.4666,-0.4573,29,12,4
2017-12-29,MS,-0.2112,-0.2187,-0.2093,-0.2167,1.1523,29,12,4
2017-12-29,MTB,1.9502,1.9359,1.9469,1.9219,-0.5247,29,12,4
2017-12-29,MU,-0.4087,-0.4154,-0.4203,-0.4215,13.2346,29,12,4
2017-12-29,MYL,-0.4055,-0.4031,-0.4004,-0.4000,0.6952,29,12,4
2017-12-29,M,-0.6990,-0.7003,-0.7038,-0.7089,1.5032,29,12,4
2017-12-29,NAVI,-0.9218,-0.9230,-0.9203,-0.9231,-0.0759,29,12,4
2017-12-29,NBL,-0.6326,-0.6374,-0.6363,-0.6377,0.2610,29,12,4
2017-12-29,NCLH,-0.1988,-0.1983,-0.1942,-0.2026,-0.3759,29,12,4
2017-12-29,NDAQ,0.2228,0.2176,0.2313,0.2228,-0.3662,29,12,4
2017-12-29,NEE,1.6680,1.6530,1.6754,1.6548,-0.2844,29,12,4
2017-12-29,NEM,-0.4831,-0.4884,-0.4821,-0.4865,0.1945,29,12,4
2017-12-29,NFLX,2.3118,2.3101,2.3157,2.3003,0.9604,29,12,4
2017-12-29,NFX,-0.5817,-0.5871,-0.5885,-0.5946,-0.3009,29,12,4
2017-12-29,NI,-0.7014,-0.7044,-0.6990,-0.7003,0.2170,29,12,4
2017-12-29,NKE,-0.0226,-0.0297,-0.0242,-0.0348,0.9711,29,12,4
2017-12-29,NLSN,-0.5120,-0.5091,-0.5074,-0.5067,0.2934,29,12,4
2017-12-29,NOC,4.4013,4.3749,4.4195,4.3744,-0.5194,29,12,4
2017-12-29,NOV,-0.5212,-0.5177,-0.5217,-0.5135,0.1027,29,12,4
2017-12-29,NRG,-0.6599,-0.6496,-0.6541,-0.6496,0.8673,29,12,4
2017-12-29,NSC,1.4634,1.4522,1.4734,1.4511,-0.4355,29,12,4
2017-12-29,NTAP,-0.1563,-0.1628,-0.1568,-0.1653,-0.2507,29,12,4
2017-12-29,NTRS,0.6517,0.6528,0.6543,0.6389,-0.4552,29,12,4
2017-12-29,NUE,0.0052,-0.0049,-0.0056,-0.0162,-0.1808,29,12,4
2017-12-29,NVDA,2.4192,2.3909,2.3572,2.3280,1.5239,29,12,4
2017-12-29,NWL,-0.6050,-0.6036,-0.6004,-0.6059,0.2564,29,12,4
